========================================
  CTT-JEPA Experiments on H100
  Started: Fri Mar 27 10:54:54 UTC 2026
========================================
[1/2] Training C-JEPA Baseline...
10:55:00.865 | INFO    (4670, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
10:55:06.687 | INFO    (4670, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:   0%|          | 0/532 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/532 [00:02<?, ?it/s, loss=1.0591, future=0.4963]
Epoch 1:   0%|          | 1/532 [00:02<21:04,  2.38s/it, loss=1.0591, future=0.4963]
Epoch 1:   0%|          | 1/532 [00:02<21:04,  2.38s/it, loss=0.6570, future=0.3282]
Epoch 1:   0%|          | 1/532 [00:02<21:04,  2.38s/it, loss=0.4717, future=0.2270]
Epoch 1:   1%|          | 3/532 [00:02<06:02,  1.46it/s, loss=0.4717, future=0.2270]
Epoch 1:   1%|          | 3/532 [00:02<06:02,  1.46it/s, loss=0.3583, future=0.1735]
Epoch 1:   1%|          | 3/532 [00:02<06:02,  1.46it/s, loss=0.3166, future=0.1550]
Epoch 1:   1%|          | 5/532 [00:02<03:21,  2.62it/s, loss=0.3166, future=0.1550]
Epoch 1:   1%|          | 5/532 [00:02<03:21,  2.62it/s, loss=0.2927, future=0.1425]
Epoch 1:   1%|          | 5/532 [00:02<03:21,  2.62it/s, loss=0.2705, future=0.1332]
Epoch 1:   1%|▏         | 7/532 [00:02<02:16,  3.85it/s, loss=0.2705, future=0.1332]
Epoch 1:   1%|▏         | 7/532 [00:03<02:16,  3.85it/s, loss=0.2568, future=0.1272]
Epoch 1:   1%|▏         | 7/532 [00:03<02:16,  3.85it/s, loss=0.2507, future=0.1247]
Epoch 1:   2%|▏         | 9/532 [00:03<01:43,  5.07it/s, loss=0.2507, future=0.1247]
Epoch 1:   2%|▏         | 9/532 [00:03<01:43,  5.07it/s, loss=0.2455, future=0.1226]
Epoch 1:   2%|▏         | 9/532 [00:03<01:43,  5.07it/s, loss=0.2460, future=0.1232]
Epoch 1:   2%|▏         | 11/532 [00:03<01:23,  6.23it/s, loss=0.2460, future=0.1232]
Epoch 1:   2%|▏         | 11/532 [00:03<01:23,  6.23it/s, loss=0.2444, future=0.1223]
Epoch 1:   2%|▏         | 11/532 [00:03<01:23,  6.23it/s, loss=0.2403, future=0.1207]
Epoch 1:   2%|▏         | 13/532 [00:03<01:11,  7.22it/s, loss=0.2403, future=0.1207]
Epoch 1:   2%|▏         | 13/532 [00:03<01:11,  7.22it/s, loss=0.2438, future=0.1221]
Epoch 1:   2%|▏         | 13/532 [00:03<01:11,  7.22it/s, loss=0.2440, future=0.1221]
Epoch 1:   3%|▎         | 15/532 [00:03<01:04,  8.05it/s, loss=0.2440, future=0.1221]
Epoch 1:   3%|▎         | 15/532 [00:03<01:04,  8.05it/s, loss=0.2456, future=0.1230]
Epoch 1:   3%|▎         | 15/532 [00:03<01:04,  8.05it/s, loss=0.2406, future=0.1210]
Epoch 1:   3%|▎         | 17/532 [00:03<00:59,  8.72it/s, loss=0.2406, future=0.1210]
Epoch 1:   3%|▎         | 17/532 [00:03<00:59,  8.72it/s, loss=0.2404, future=0.1207]
Epoch 1:   3%|▎         | 17/532 [00:04<00:59,  8.72it/s, loss=0.2406, future=0.1204]
Epoch 1:   4%|▎         | 19/532 [00:04<00:55,  9.24it/s, loss=0.2406, future=0.1204]
Epoch 1:   4%|▎         | 19/532 [00:04<00:55,  9.24it/s, loss=0.2400, future=0.1206]
Epoch 1:   4%|▎         | 19/532 [00:04<00:55,  9.24it/s, loss=0.2380, future=0.1195]
Epoch 1:   4%|▍         | 21/532 [00:04<00:53,  9.61it/s, loss=0.2380, future=0.1195]
