11:29:42.583 | INFO    (9751, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
11:29:49.265 | INFO    (9751, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:   0%|          | 0/532 [00:00<?, ?it/s]
Epoch 1:   0%|          | 0/532 [00:02<?, ?it/s, loss=1.0291, future=0.4846]
Epoch 1:   0%|          | 1/532 [00:02<25:09,  2.84s/it, loss=1.0291, future=0.4846]
Epoch 1:   0%|          | 1/532 [00:02<25:09,  2.84s/it, loss=0.6870, future=0.3290]
Epoch 1:   0%|          | 1/532 [00:02<25:09,  2.84s/it, loss=0.4761, future=0.2284]
Epoch 1:   1%|          | 3/532 [00:02<06:53,  1.28it/s, loss=0.4761, future=0.2284]
Epoch 1:   1%|          | 3/532 [00:03<06:53,  1.28it/s, loss=0.3970, future=0.1907]
Epoch 1:   1%|          | 3/532 [00:03<06:53,  1.28it/s, loss=0.3414, future=0.1653]
Epoch 1:   1%|          | 5/532 [00:03<03:36,  2.43it/s, loss=0.3414, future=0.1653]
Epoch 1:   1%|          | 5/532 [00:03<03:36,  2.43it/s, loss=0.3058, future=0.1491]
Epoch 1:   1%|          | 5/532 [00:03<03:36,  2.43it/s, loss=0.2810, future=0.1392]
Epoch 1:   1%|▏         | 7/532 [00:03<02:18,  3.80it/s, loss=0.2810, future=0.1392]
Epoch 1:   1%|▏         | 7/532 [00:03<02:18,  3.80it/s, loss=0.2679, future=0.1326]
Epoch 1:   1%|▏         | 7/532 [00:03<02:18,  3.80it/s, loss=0.2580, future=0.1281]
Epoch 1:   2%|▏         | 9/532 [00:03<01:37,  5.35it/s, loss=0.2580, future=0.1281]
Epoch 1:   2%|▏         | 9/532 [00:03<01:37,  5.35it/s, loss=0.2498, future=0.1251]
Epoch 1:   2%|▏         | 9/532 [00:03<01:37,  5.35it/s, loss=0.2466, future=0.1232]
Epoch 1:   2%|▏         | 11/532 [00:03<01:14,  7.01it/s, loss=0.2466, future=0.1232]
Epoch 1:   2%|▏         | 11/532 [00:03<01:14,  7.01it/s, loss=0.2443, future=0.1229]
Epoch 1:   2%|▏         | 11/532 [00:03<01:14,  7.01it/s, loss=0.2459, future=0.1231]
Epoch 1:   2%|▏         | 13/532 [00:03<01:00,  8.64it/s, loss=0.2459, future=0.1231]
Epoch 1:   2%|▏         | 13/532 [00:03<01:00,  8.64it/s, loss=0.2449, future=0.1222]
Epoch 1:   2%|▏         | 13/532 [00:03<01:00,  8.64it/s, loss=0.2454, future=0.1230]
Epoch 1:   3%|▎         | 15/532 [00:03<00:50, 10.16it/s, loss=0.2454, future=0.1230]
Epoch 1:   3%|▎         | 15/532 [00:03<00:50, 10.16it/s, loss=0.2450, future=0.1229]
Epoch 1:   3%|▎         | 15/532 [00:03<00:50, 10.16it/s, loss=0.2453, future=0.1226]
Epoch 1:   3%|▎         | 17/532 [00:03<00:44, 11.52it/s, loss=0.2453, future=0.1226]
Epoch 1:   3%|▎         | 17/532 [00:03<00:44, 11.52it/s, loss=0.2440, future=0.1225]
Epoch 1:   3%|▎         | 17/532 [00:03<00:44, 11.52it/s, loss=0.2426, future=0.1217]
Epoch 1:   4%|▎         | 19/532 [00:03<00:40, 12.67it/s, loss=0.2426, future=0.1217]
Epoch 1:   4%|▎         | 19/532 [00:04<00:40, 12.67it/s, loss=0.2394, future=0.1213]
Epoch 1:   4%|▎         | 19/532 [00:04<00:40, 12.67it/s, loss=0.2396, future=0.1203]
Epoch 1:   4%|▍         | 21/532 [00:04<00:37, 13.59it/s, loss=0.2396, future=0.1203]
Epoch 1:   4%|▍         | 21/532 [00:04<00:37, 13.59it/s, loss=0.2381, future=0.1195]
Epoch 1:   4%|▍         | 21/532 [00:04<00:37, 13.59it/s, loss=0.2374, future=0.1196]
Epoch 1:   4%|▍         | 23/532 [00:04<00:35, 14.26it/s, loss=0.2374, future=0.1196]
